,,,,The information on this web site is provided free to individual collectors & collector clubs.,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
,,,,The commercial use of any of the information on this web site is strictly prohibited.,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Quantity,Type ,Item No,Item/More,Description,Years,Coordinating Item(s),,,,Link to image for item,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
" ",Orn. ,"69200","Item","From God, 2002","2001-2002","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/69200.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
" ",Orn. ,"69224","Item","From God– 2004 (s/2)","2003-2004","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/69224.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
" ",Orn. ,"69224","More","Includes Acrylic Ornament Stand","","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/no-image.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
" ",Orn. ,"69242","Item","From God- 2005","2004-2005","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/69242.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
" ",Orn. ,"69264","Item","From God– 2006","2005-2005","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/69264.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
" ",Orn. ,"69742","Item","From God– 2007","2006-2007","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/69742.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
" ",Orn. ,"796009","Item","From God- 2008","2007-2008","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/796009.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
" ",Orn. ,"810397","Item","From God- 2009","2008-2009","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/810397.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
" ",Orn. ,"799532","Item","From God- 2010","2010-2010","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/799532.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
" ",Orn. ,"4021915","Item","From God-2011","2011-2011","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/4021915.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
" ",Orn. ,"4039769","Item","From God","2014-2014","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/4039769.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
" ",Orn. ,"4045799","Item","From God","2015-2015","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/4045799.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
" ",Orn. ,"4051902","Item","From God Ornament","2016-2016","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/4051902.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
" ",Orn. ,"6001859","Item","From God","2018-2019","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/6001859.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
" ",Orn. ,"6005791","Item","From God Ornament","2020-2020","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/6005791.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
" ",Orn. ,"6009142","Item","From God Ornament","2021-2021","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/6009142.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
" ",Orn. ,"6009917","Item","From God Ornament","2022-2022","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/6009917.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
" ",Orn. ,"6012365","Item","From God Ornament","2023-2023","","","","",=HYPERLINK("https://thevillagechronicler.com/ItemImages/6012365.jpg"),"",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
